nome,plataforma,genero,editora,vendas,lancamento,avaliacao-criticos,numero-criticos,avaliacao-usuarios,numero-usuarios,fabricante
Machi-Ing Maker 3 x Tousouchuu,PSP,Simulation,D3Publisher,0.1,,,,,,
Dai-2-Ji Super Robot Taisen OG,PS3,Strategy,Namco Bandai Games,0.3,,,,,,
A Boy and His Blob,Wii,Platform,Majesco Entertainment,0.2,13-Oct-09,80.0,43.0,8.8,29.0,WayForward
The Smurfs 2,PS3,Action,Ubisoft,0.06,23-Jul-13,,,1.3,4.0,WayForward
Sid Meier's Civilization Revolution,X360,Strategy,Take-Two Interactive,0.76,8-Jul-08,84.0,55.0,7.8,135.0,Firaxis Games
Swords,Wii,Fighting,Unknown,0.03,20-Sep-10,,,tbd,,Panic Button
Petz: Horse Club,Wii,Misc,Ubisoft,0.21,11-Nov-08,,,tbd,,Phoenix Interactive Entertainment
Castlevania: Lords of Shadow,PS3,Action,Konami Digital Entertainment,0.92,5-Oct-10,85.0,62.0,8,328.0,Mercury Steam
Jikkyou Powerful Pro Yakyuu 2012,PS3,Action,Konami Digital Entertainment,0.2,,,,,,
Inazuma Eleven Strikers 2012 Xtreme,Wii,Sports,Level 5,0.19,,,,,,
All-Pro Football 2K8,X360,Sports,Take-Two Interactive,0.25,16-Jul-07,75.0,22.0,6.9,48.0,Visual Concepts
Winning Post 7 2013,PS3,Sports,Tecmo Koei,0.05,,,,,,
The Conveni Portable,PSP,Simulation,Hamster Corporation,0.01,,,,,,
Peter Jackson's King Kong: The Official Game of the Movie,X360,Action,Ubisoft,0.23,21-Nov-05,80.0,57.0,7.2,60.0,Ubisoft Montpellier
Mario Kart Wii,Wii,Racing,Nintendo,34.33,27-Apr-08,82.0,73.0,8.2,503.0,Nintendo
Karaoke Revolution Glee: Volume 3,Wii,Misc,Konami Digital Entertainment,0.25,1-Nov-11,,,tbd,,Hijinx Studios
The Incredible Hulk,Wii,Action,Sega,0.3,5-Jun-08,46.0,21.0,tbd,,Edge of Reality
JoJo's Bizarre Adventure: All Star Battle,3DS,Fighting,Take-Two Interactive,0.04,,,,,,
Tekken Tag Tournament 2,X360,Fighting,Namco Bandai Games,0.29,11-Sep-12,83.0,35.0,7.1,54.0,Namco Bandai Games
Alan Wake,X360,Action,Microsoft Game Studios,1.25,18-May-10,83.0,100.0,8,939.0,Remedy Entertainment
Nazo Waku Yakata: Oto no Ma ni Ma ni,3DS,Misc,Capcom,0.05,,,,,,
Otomedius Gorgeous,X360,Shooter,Konami Digital Entertainment,0.03,,,,,,
"Asaki, Yumemishi",PSP,Adventure,Quinrose,0.01,,,,,,
Way of the Samurai 2 Portable,PSP,Action,Spike,0.04,,,,,,
Call of Duty: Ghosts,X360,Shooter,Activision,8.08,5-Nov-13,73.0,29.0,2.3,1730.0,Infinity Ward
Dragon's Dogma,PS3,Adventure,Capcom,1.5,22-May-12,78.0,38.0,8.3,339.0,Capcom
NCAA Football 11,PS3,Sports,Electronic Arts,0.81,13-Jul-10,85.0,22.0,7.4,24.0,EA Tiburon
Harvest Moon: The Tale of Two Towns,3DS,Simulation,Unknown,0.26,1-Nov-11,63.0,14.0,6.5,23.0,Marvelous
Super Monkey Ball Adventure,PSP,Platform,Sega,0.07,29-Aug-06,56.0,23.0,5.8,5.0,TT Games
Hail to the Chimp,PS3,Misc,Gamecock,0.04,30-Jun-08,51.0,19.0,tbd,,Wideload Games Inc.
NHL 09,PS3,Sports,Electronic Arts,0.32,9-Sep-08,88.0,25.0,7.9,37.0,EA Canada
White Album: Tsuzurareru Fuyu no Omoide,PS3,Adventure,Aqua Plus,0.05,,,,,,
Batman: Arkham City,PS3,Action,Warner Bros. Interactive Entertainment,4.81,18-Oct-11,96.0,42.0,8.5,1417.0,Rocksteady Studios
Marvel Super Hero Squad: Comic Combat,PS3,Action,THQ,0.13,15-Nov-11,,,tbd,,THQ
Rinne no Lagrange: Kamogawa Days,PS3,Adventure,Namco Bandai Games,0.02,,,,,,
Resident Evil: Revelations,3DS,Action,Capcom,0.77,7-Feb-12,82.0,78.0,8.6,288.0,Capcom
Skylanders Giants,WiiU,Action,Activision,0.18,18-Nov-12,80.0,8.0,6.9,19.0,Vicarious Visions
Mario & Sonic at the London 2012 Olympic Games,3DS,Sports,Sega,1.08,,,,,,
Zoo Resort 3D,3DS,Simulation,Ubisoft,0.2,25-Oct-11,,,tbd,,AQ Interactive
Kobitodzukan: Kobito Kansatsu Set,3DS,Action,Nippon Columbia,0.27,,,,,,
Hollywood Squares,Wii,Misc,Ubisoft,0.09,5-Oct-10,,,tbd,,Ubisoft
Wario Land: Shake It!,Wii,Platform,Nintendo,1.13,,,,,,
Obscure: The Aftermath,Wii,Adventure,Playlogic Game Factory,0.12,25-Mar-08,53.0,19.0,7.7,11.0,Hydravision
The Legend of Zelda: The Wind Waker,WiiU,Action,Nintendo,0.83,,,,,,
Phantom Brave: The Hermuda Triangle,PSP,Role-Playing,Nippon Ichi Software,0.06,8-Mar-11,65.0,16.0,6.8,9.0,Nippon Ichi Software
The God of War Trilogy,PS3,Action,Sony Computer Entertainment,0.12,,,,,,
Samurai Dou Portable,PSP,Action,Spike,0.05,,,,,,
Battalion Wars 2,Wii,Strategy,Nintendo,0.33,29-Oct-07,75.0,38.0,7.4,38.0,Kuju Entertainment
Abunai: Koi no Sousa Shitsu,PSP,Action,Quinrose,0.01,,,,,,
Jumper: Griffin's Story,Wii,Action,Eidos Interactive,0.08,12-Feb-08,28.0,5.0,2.5,11.0,Collision Studios
Driver: San Francisco,Wii,Racing,Ubisoft,0.14,6-Sep-11,64.0,7.0,5.8,8.0,Ubisoft Reflections
Dynasty Warriors: Gundam 2,X360,Action,Namco Bandai Games,0.19,21-Apr-09,49.0,30.0,7.3,15.0,Omega Force
Tom Clancy's Splinter Cell: Blacklist,PS3,Action,Ubisoft,0.68,20-Aug-13,84.0,27.0,7.7,217.0,Ubisoft Toronto
Burnout Paradise: The Ultimate Box,PS3,Racing,Electronic Arts,0.05,,,,,,
Final Fantasy XI: Ultimate Collection,X360,Role-Playing,Square Enix,0.27,10-Nov-09,,,tbd,,Square Enix
Skate 2,X360,Sports,Electronic Arts,1.05,21-Jan-09,84.0,70.0,8,57.0,EA Black Box
Gears of War 3,X360,Shooter,Microsoft Game Studios,5.98,20-Sep-11,91.0,96.0,7.6,1200.0,Epic Games
Skylanders SWAP Force,PS4,Platform,Activision,0.12,15-Nov-13,78.0,5.0,5.7,26.0,"Vicarious Visions, Vicarious Visions"
Nickelodeon Dance,X360,Misc,Take-Two Interactive,0.08,8-Nov-11,,,tbd,,High Voltage Software
Shinseiki Evangelion: Koutetsu no Girlfriend 2nd Portable,PSP,Adventure,CyberFront,0.01,,,,,,
NBA 08,PSP,Sports,Sony Computer Entertainment,0.03,12-Oct-07,75.0,18.0,7.4,7.0,SCEA
Army Rescue,Wii,Shooter,UFO Interactive,0.02,20-Oct-09,,,tbd,,UFO Interactive
Silent Hill: Shattered Memories,PSP,Adventure,Konami Digital Entertainment,0.26,19-Jan-10,73.0,28.0,7.5,24.0,Climax Group
Heavenly Guardian,Wii,Shooter,505 Games,0.06,22-Apr-08,,,tbd,,Starfish
Rock Band Country Track Pack,PS3,Misc,MTV Games,0.18,21-Jul-09,,,tbd,,Harmonix Music Systems
Terminator Salvation,PS3,Shooter,Warner Bros. Interactive Entertainment,0.49,19-May-09,43.0,41.0,4.6,44.0,GRIN
Buzz! Quiz TV,PS3,Misc,Sony Computer Entertainment,0.84,,,,,,
Dead or Alive 5,PSV,Fighting,Tecmo Koei,0.04,,,,,,
Toy Story 3: The Video Game,X360,Action,Disney Interactive Studios,0.67,,,,,,
Rocksmith 2014,PS3,Misc,Ubisoft,0.45,,,,,,
NCAA Football 10,PSP,Sports,Electronic Arts,0.2,14-Jul-09,,,tbd,,EA Tiburon
Ouchi Mainichi Tamagotchi,3DS,Action,Namco Bandai Games,0.09,,,,,,
Karaoke Revolution,Wii,Misc,Konami Digital Entertainment,0.43,24-Nov-09,63.0,4.0,tbd,,Blitz Games Studios
SpongeBob SquarePants: Creature from the Krusty Krab,Wii,Platform,THQ,0.48,13-Nov-06,57.0,16.0,6.5,6.0,Blitz Games
MX vs. ATV Untamed,Wii,Racing,THQ,0.31,18-Feb-08,70.0,7.0,8.6,7.0,Rainbow Studios
The Oregon Trail,3DS,Simulation,Crave Entertainment,0.1,,,,,,
Kao Challengers,PSP,Platform,Atari,0.02,29-Mar-06,57.0,6.0,tbd,,Atari
Rapala Pro Bass Fishing 2010,PSP,Sports,Activision,0.04,28-Sep-10,,,tbd,,FUN Labs
Clover no Kuni no Alice,PSP,Adventure,Quinrose,0.02,,,,,,
Puzzle Challenge: Crosswords and More!,Wii,Puzzle,Crave Entertainment,0.03,,,,,,
Saints Row,X360,Action,THQ,2.15,29-Aug-06,81.0,74.0,7.5,177.0,Volition Inc.
Deadly Premonition,X360,Action,Rising Star Games,0.24,17-Feb-10,68.0,39.0,8.3,271.0,Access Games
NPPL Championship Paintball 2009,PS3,Shooter,Activision Value,0.14,18-Nov-08,45.0,9.0,6.6,7.0,FUN Labs
Broken Sword: Shadow of the Templars - The Director's Cut,Wii,Adventure,Ubisoft,0.23,24-Mar-09,74.0,29.0,7.9,9.0,Revolution Software
Divinity II: The Dragon Knight Saga,X360,Role-Playing,Focus Home Interactive,0.12,12-Apr-11,72.0,13.0,8,33.0,Larian Studios
Rock Band 2,Wii,Misc,MTV Games,1.0,18-Dec-08,92.0,10.0,7.4,37.0,Harmonix Music Systems
Brink,X360,Shooter,Bethesda Softworks,0.98,10-May-11,68.0,85.0,5.8,378.0,Splash Damage
NBA 2K7,X360,Sports,Take-Two Interactive,0.57,25-Sep-06,84.0,46.0,7.8,65.0,"Visual Concepts, Kush Games"
Final Fantasy X / X-2 HD Remaster,PS3,Role-Playing,Square Enix,0.27,18-Mar-14,,,,,Square Enix
Fist of the North Star: Ken's Rage,PS3,Action,Ubisoft Annecy,0.63,2-Nov-10,60.0,30.0,7,23.0,Koei
Misshitsu no Sacrifice,PSP,Adventure,D3Publisher,0.02,,,,,,
Seinaru Kana: Orichalcum no Na no Motoni,PSP,Action,CyberFront,0.02,,,,,,
Yoostar on MTV,X360,Misc,Unknown,0.05,15-Nov-11,49.0,4.0,tbd,,Yoostar Entertainment Group
Assassin's Creed II,PS3,Action,Ubisoft,5.26,17-Nov-09,91.0,70.0,8.5,824.0,Ubisoft Montreal
Nobunaga no Yabou Online: Houou no Shou,PS3,Strategy,Ackkstudios,0.01,,,,,,
Valkyrie Profile: Lenneth,PSP,Role-Playing,Square Enix,0.34,18-Jul-06,80.0,39.0,8.5,45.0,TOSE
Tenchu: Shadow Assassins,PSP,Action,Ubisoft,0.11,24-Mar-09,68.0,18.0,8.9,11.0,From Software
Metal Gear Rising: Revengeance,X360,Action,Konami Digital Entertainment,0.33,19-Feb-13,82.0,46.0,7.8,290.0,PlatinumGames
Just Dance Kids,Wii,Misc,Ubisoft,2.1,9-Nov-10,,,tbd,,Ubisoft
Battle Princess of Arcadias,PS3,Role-Playing,Nippon Ichi Software,0.02,TBA 2014,,,,,ApolloSoft
Turbo: Super Stunt Squad,Wii,Sports,D3Publisher,0.01,16-Jul-13,,,tbd,,Torus Games
Pirates PlundArrr,Wii,Action,Majesco Entertainment,0.01,25-May-10,60.0,5.0,tbd,,Boomzap
Puppeteer,PS3,Platform,Sony Computer Entertainment Europe,0.16,10-Sep-13,80.0,75.0,8.4,145.0,SCE Japan Studio
Just Dance 2: Extra Songs,Wii,Misc,Ubisoft,0.18,,,,,,
Astro Boy: The Video Game,Wii,Action,D3Publisher,0.1,20-Oct-09,48.0,17.0,tbd,,High Voltage Software
Mother Goose no Himitsu no Yakata,PSP,Adventure,Quinrose,0.03,,,,,,
Winning Post 7 2012,PS3,Sports,Ackkstudios,0.07,,,,,,
Shinseiki GPX Cyber Formula VS,PSP,Racing,Sunrise Interactive,0.01,,,,,,
Jump Start Pet Rescue,Wii,Misc,Knowledge Adventure,0.43,,,,,,
The Legend of Heroes VI: Sora no Kiseki Second Chapter,PS3,Role-Playing,Falcom Corporation,0.02,,,,,,
AMF Bowling Pinbusters!,Wii,Sports,Bethesda Softworks,0.9,,,,,,
PAC-MAN and the Ghostly Adventures,WiiU,Action,Namco Bandai Games,0.01,29-Oct-13,,,6.8,4.0,Namco Bandai Games America
Disney Infinity,Wii,Action,Disney Interactive Studios,0.99,18-Aug-13,,,4.7,20.0,Avalanche Software
Art Academy: Lessons for Everyone,3DS,Action,Nintendo,0.38,1-Oct-12,81.0,14.0,7.1,15.0,"Nintendo, Headstrong Games"
Zone of the Enders HD Collection,X360,Simulation,Konami Digital Entertainment,0.13,30-Oct-12,75.0,21.0,8.7,18.0,High Voltage Software
Star Ocean: The Last Hope,X360,Role-Playing,Square Enix,0.75,23-Feb-09,72.0,56.0,7.3,135.0,"Tri-Ace, Square Enix"
Fairy Tail: Zelef Kakusei,PSP,Action,Konami Digital Entertainment,0.07,,,,,,
Super Robot Taisen Neo,Wii,Strategy,Namco Bandai Games,0.05,,,,,,
Raiden Fighters Aces,X360,Shooter,Valcon Games,0.06,7-May-09,73.0,11.0,8.2,9.0,Gulti
StokEd,X360,Sports,Zushi Games,0.2,26-Feb-09,68.0,34.0,8.5,18.0,Bongfish
Tom Clancy's Ghost Recon: Predator,PSP,Shooter,Ubisoft,0.07,16-Nov-10,54.0,15.0,tbd,,Virtuos
Shining Hearts,PSP,Role-Playing,Sega,0.2,,,,,,
Conduit 2,Wii,Shooter,Sega,0.11,19-Apr-11,64.0,51.0,7.6,53.0,High Voltage Software
Marvel: Ultimate Alliance,PSP,Role-Playing,Activision,0.36,24-Oct-06,81.0,19.0,8.1,10.0,Vicarious Visions
World Poker Tour,PSP,Misc,Take-Two Interactive,0.04,17-Apr-06,68.0,14.0,tbd,,Coresoft
Need for Speed: ProStreet,X360,Racing,Electronic Arts,2.02,15-Nov-07,72.0,42.0,7.4,66.0,EA Black Box
Backyard Sports: Sandlot Sluggers,Wii,Sports,Atari,0.12,25-May-10,,,tbd,,HB Studios Multimedia
Just Dance 2014,WiiU,Misc,Ubisoft,0.25,8-Oct-13,72.0,13.0,7.9,40.0,Ubisoft
New Love Plus,3DS,Simulation,Konami Digital Entertainment,0.14,,,,,,
Disney Epic Mickey 2: The Power of Two,PS3,Action,Disney Interactive Studios,0.32,18-Nov-12,59.0,36.0,4.6,18.0,Blitz Games Studios
LEGO Harry Potter: Years 5-7,3DS,Action,Warner Bros. Interactive Entertainment,0.3,11-Nov-11,71.0,7.0,5.7,6.0,Traveller's Tales
Oumagatoki: Kaidan Romance,PSP,Action,Quinrose,0.03,,,,,,
New Super Luigi U,WiiU,Platform,Nintendo,1.29,20-Jun-13,77.0,59.0,7.6,173.0,Nintendo
Mass Effect 3,X360,Role-Playing,Electronic Arts,2.85,6-Mar-12,93.0,74.0,5.6,3430.0,BioWare
Monopoly Streets,X360,Misc,Electronic Arts,0.25,26-Oct-10,66.0,18.0,6.6,13.0,Electronic Arts
Cabela's Big Game Hunter (2008),Wii,Sports,Activision,0.62,13-Nov-07,,,tbd,,MagicWand
Metal Slug Anthology,PSP,Shooter,Ignition Entertainment,0.04,20-Feb-07,78.0,26.0,7.4,18.0,Terminal Reality
NERF N-Strike Elite,Wii,Shooter,Electronic Arts,1.0,26-Oct-09,67.0,12.0,5.4,5.0,EA Salt Lake
Hyperdimension Idol Neptunia PP,PSV,Action,Compile Heart,0.04,,,,,,
Dream C Club Zero,PS3,Simulation,D3Publisher,0.01,,,,,,
Power Smash: Live Match!,PS3,Sports,Sega,0.01,,,,,,
The Secret Saturdays: Beasts of the 5th Sun,PSP,Action,D3Publisher,0.07,20-Oct-09,,,tbd,,High Voltage Software
Steel Diver,3DS,Action,Nintendo,0.41,27-Mar-11,58.0,55.0,6.1,23.0,Nintendo
Unreal Tournament III,PS3,Shooter,Midway Games,0.63,11-Dec-07,86.0,42.0,7.9,108.0,Epic Games
FIFA World Cup Germany 2006,PSP,Sports,Electronic Arts,0.11,22-May-06,72.0,15.0,7.3,8.0,EA Canada
Wild ARMs XF,PSP,Role-Playing,505 Games,0.13,11-Mar-08,64.0,22.0,8,12.0,Media Vision
LEGO Batman 2: DC Super Heroes,PSV,Action,Warner Bros. Interactive Entertainment,0.24,19-Jun-12,62.0,9.0,6.6,31.0,TT Games
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,Fighting,Capcom,1.27,15-Feb-11,84.0,56.0,7.2,135.0,Capcom
Fushigi no Dungeon: Fuurai no Shiren 4 - Kami no Hitomi to Akuma no Heso,PSP,Role-Playing,Spike,0.04,,,,,,
Winning Post 7 2009,PSP,Sports,Tecmo Koei,0.03,,,,,,
Nobunaga no Yabou: Souzou,PS3,Strategy,Tecmo Koei,0.11,,,,,,
Assassin's Creed III,WiiU,Action,Ubisoft,0.23,18-Nov-12,85.0,26.0,7.1,143.0,Ubisoft Quebec
WWE SmackDown vs. Raw 2009,PS3,Fighting,THQ,0.9,9-Nov-08,78.0,37.0,6.9,40.0,Yuke's
Far Cry 2,PS3,Shooter,Ubisoft,1.32,21-Oct-08,85.0,49.0,6.6,179.0,Ubisoft Montreal
Sega Rally Revo,PS3,Racing,Sega,0.61,9-Oct-07,75.0,40.0,6.3,15.0,SEGA Racing Studio
Samurai Warriors Chronicles,3DS,Action,Tecmo Koei,0.36,27-Mar-11,61.0,30.0,7.6,30.0,Omega Force
Crackdown,X360,Shooter,Microsoft Game Studios,1.71,20-Feb-07,83.0,75.0,8.1,283.0,Realtime Worlds
Banjo-Kazooie,X360,Platform,Microsoft Game Studios,0.01,3-Dec-08,77.0,17.0,8.1,54.0,4J Studios
Sengoku Hime 3: Tenka o Kirisaku Hikari to Kage,PSP,Action,SystemSoft,0.01,,,,,,
FIFA Soccer 08,Wii,Sports,Electronic Arts,1.02,9-Oct-07,65.0,13.0,6.2,25.0,EA Canada
No More Heroes: Red Zone,PS3,Action,Marvelous Interactive,0.09,,,,,,
Spider-Man 3,X360,Platform,Activision,0.55,4-May-07,63.0,61.0,7.1,47.0,Treyarch
Youkai Watch,3DS,Role-Playing,Level 5,0.38,,,,,,
Ys vs. Sora no Kiseki: Alternative Saga,PSP,Action,Falcom Corporation,0.06,,,,,,
Brave Story: New Traveler (US sales),PSP,Role-Playing,Sony Computer Entertainment,0.1,,,,,,
Lego Marvel Super Heroes,XOne,Action,Warner Bros. Interactive Entertainment,0.27,22-Nov-13,,,7.3,41.0,TT Games
Final Fantasy III,PSP,Role-Playing,Square Enix,0.11,25-Sep-12,,,8.9,8.0,Matrix Software
Country Dance 2,Wii,Misc,GameMill Entertainment,0.44,1-Nov-11,,,tbd,,High Voltage Software
Shin Sangoku Musou Online: Kamishou Ranbu,PS3,Action,Tecmo Koei,0.03,,,,,,
Dead Head Fred,PSP,Action,D3Publisher,0.04,28-Aug-07,75.0,30.0,7.1,17.0,Vicious Cycle
Super Robot Taisen XO,X360,Strategy,Banpresto,0.01,,,,,,
Cars 2,PSP,Platform,Disney Interactive Studios,0.09,,,,,,
Chaotic: Shadow Warriors,Wii,Action,Activision,0.18,10-Nov-09,,,tbd,,FUN Labs
Military History: Commander - Europe at War,PSP,Strategy,Slitherine Software,0.01,6-Dec-10,,,tbd,,Slitherine
Sega Rally Revo,X360,Racing,Sega,0.43,9-Oct-07,77.0,42.0,7.2,26.0,SEGA Racing Studio
Pro Yakyuu Spirits 2013,PSV,Sports,Konami Digital Entertainment,0.06,,,,,,
America's Army: True Soldiers,X360,Shooter,Ubisoft,0.08,15-Nov-07,43.0,11.0,6.6,54.0,Red Storm Entertainment
Syphon Filter: Logan's Shadow,PSP,Shooter,Sony Computer Entertainment,0.43,2-Oct-07,85.0,41.0,9,33.0,Sony Bend
Taishou Yakyuujou: Otome Tatsuno Seishun Nikki,PSP,Adventure,5pb,0.01,,,,,,
NASCAR 2011: The Game,X360,Racing,Activision,0.28,29-Mar-11,62.0,24.0,4.1,14.0,Eutechnyx
Inazuma Eleven 3: Sekai e no Chousen!! Bomber / Spark,3DS,Role-Playing,Nintendo,0.04,,,,,,
Queen's Blade: Spiral Chaos,PSP,Role-Playing,Namco Bandai Games,0.11,,,,,,
Sonic & SEGA All-Stars Racing with Banjo-Kazooie,X360,Racing,Sega,0.61,,,,,,
The Hustle: Detroit Streets,PSP,Sports,Deep Silver,0.07,25-Oct-05,51.0,11.0,5.3,4.0,Blade Interactive
DanceStar Party,PS3,Misc,Sony Computer Entertainment,0.39,12-Oct-12,68.0,16.0,tbd,,SCEE
NCAA Basketball 09,PS3,Sports,Electronic Arts,0.15,17-Nov-08,68.0,17.0,tbd,,EA Canada
Big League Sports,Wii,Sports,Activision,0.1,11-Nov-08,,,1.4,10.0,Koolhaus Games
Rune Factory 4,3DS,Role-Playing,Xseed Games,0.34,1-Oct-13,78.0,21.0,7.5,62.0,Neverland
Fishing Master (jp sales),Wii,Sports,Konami Digital Entertainment,0.06,,,,,,
Tengai Makyo: Dai Yon no Mokushiroku,PSP,Role-Playing,Hudson Soft,0.01,,,,,,
Pro Evolution Soccer 2011 3D,3DS,Sports,Konami Digital Entertainment,0.35,25-Mar-11,73.0,43.0,6.5,15.0,Konami
The Mummy: Tomb of the Dragon Emperor,Wii,Action,Vivendi Games,0.08,22-Jul-08,39.0,7.0,tbd,,Eurocom Entertainment Software
Dead Space 3,X360,Shooter,Electronic Arts,0.84,5-Feb-13,78.0,68.0,6.3,616.0,Visceral Games
Yakuza 3,PS3,Adventure,Sega,1.06,9-Mar-10,79.0,77.0,8.1,109.0,Sega
Earth Defense Force 2017,X360,Shooter,D3Publisher,0.06,20-Mar-07,69.0,55.0,7.6,54.0,Sandlot
Saints Row 2,PS3,Action,THQ,1.63,14-Oct-08,82.0,50.0,8,109.0,Volition Inc.
IL-2 Sturmovik: Birds of Prey,PS3,Simulation,505 Games,0.65,8-Sep-09,81.0,28.0,7,17.0,Gaijin Entertainment
Ford Racing Off Road,Wii,Racing,Xplosiv,0.47,1-Sep-08,37.0,5.0,tbd,,Razorworks Studios
FlingSmash,Wii,Action,Nintendo,0.46,7-Nov-10,48.0,26.0,7.1,8.0,Artoon
Zumba Fitness,X360,Sports,505 Games,2.18,18-Nov-10,42.0,10.0,6,13.0,"Pipeworks Software, Inc."
Mobile Suit Gundam: Crossfire,PS3,Simulation,Namco Bandai Games,0.19,13-Nov-06,33.0,31.0,4.7,41.0,Bec
Driver: Parallel Lines,Wii,Racing,Ubisoft,0.02,26-Jun-07,59.0,9.0,5.6,17.0,Reflections Interactive
Boku no Natsuyasumi Portable 2: Nazo Nazo Shimai to Chinbotsusen no Himitsu,PSP,Adventure,Sony Computer Entertainment,0.07,,,,,,
Culdcept SAGA,X360,Role-Playing,Namco Bandai Games,0.16,5-Feb-08,75.0,33.0,9,44.0,"Omiya Soft, Jamsworks"
Cloudy With a Chance of Meatballs,X360,Adventure,Ubisoft,0.07,18-Sep-09,62.0,12.0,6.4,10.0,Ubisoft Shanghai
Ken to Mahou to Gakuen Mono. 2G,PS3,Role-Playing,Acquire,0.02,,,,,,
Uta no * Prince-Sama: Sweet Serenade,PSP,Adventure,Broccoli,0.01,,,,,,
Family Party: 30 Great Games,Wii,Misc,D3Publisher,0.09,2-Dec-08,42.0,10.0,1.5,4.0,Tamsoft
Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai,3DS,Adventure,D3Publisher,0.03,,,,,,
Petz Dogz 2,Wii,Simulation,Ubisoft,0.57,14-Nov-07,,,tbd,,Ubisoft
NCAA Football 07,PSP,Sports,Electronic Arts,0.36,18-Jul-06,75.0,16.0,7.9,11.0,EA Sports
Buzz! Quiz World,PS3,Misc,Sony Computer Entertainment,0.85,,,,,,
PQ2: Practical Intelligence Quotient,PSP,Puzzle,D3Publisher,0.05,18-Jun-07,74.0,19.0,9.2,5.0,Now Production
Spider-Man: Edge of Time,PS3,Action,Activision,0.2,4-Oct-11,58.0,43.0,7.1,17.0,Beenox
Truck Racer,Wii,Racing,Nordic Games,0.01,,,,,,
Dishonored,PS3,Shooter,Bethesda Softworks,1.19,9-Oct-12,89.0,35.0,7.8,593.0,Arkane Studios
Major League Baseball 2K8,PS3,Sports,Bethesda Softworks,0.29,3-Mar-08,67.0,23.0,5.6,8.0,Kush Games
Fast Food Panic,Wii,Simulation,Nobilis,0.06,27-Jan-10,57.0,6.0,tbd,,Dorasu
Atelier Meruru: Alchemist of Arland 3,PSV,Role-Playing,Gust,0.06,,,,,,
Nano Diver,PSP,Action,Takara Tomy,0.02,,,,,,
Ford Bold Moves Street Racing,PSP,Racing,Xplosiv,0.04,17-Oct-06,52.0,19.0,tbd,,Razorworks Studios
Far Cry 2,X360,Shooter,Ubisoft,1.56,21-Oct-08,85.0,75.0,6.7,239.0,Ubisoft Montreal
Madagascar: Escape 2 Africa,Wii,Action,Activision,0.53,4-Nov-08,62.0,12.0,tbd,,Toys for Bob
Planetarian: Chiisana Hoshi no Yume,PSP,Adventure,Prototype,0.02,,,,,,
Madden NFL 13,Wii,Sports,Electronic Arts,0.46,28-Aug-12,,,7.3,4.0,EA Tiburon
PDC World Championship Darts 2008,Wii,Sports,Oxygen Interactive,0.23,16-Jun-09,51.0,18.0,5.4,7.0,Oxygen Interactive
Growlanser,PSP,Role-Playing,Atlus,0.04,,,,,,
Super Mario All-Stars: Limited Edition,Wii,Platform,Nintendo,2.53,,,,,,
Dead or Alive 5,X360,Fighting,Ubisoft Annecy,0.23,25-Sep-12,76.0,39.0,7.7,82.0,Team Ninja
Rabbids Party Collection,Wii,Misc,Ubisoft,0.18,,,,,,
Yakuza 5,PS3,Action,Sega,0.59,,,,,,
Lunar: Silver Star Harmony,PSP,Role-Playing,GungHo,0.21,2-Mar-10,80.0,26.0,7.7,37.0,Game Arts
Turok,X360,Shooter,Touchstone,0.72,5-Feb-08,69.0,63.0,7.3,106.0,Propaganda Games
TNA iMPACT!,X360,Fighting,Midway Games,0.43,,,,,,
Battlezone,PSP,Shooter,Atari,0.03,6-Nov-06,57.0,13.0,tbd,,Paradigm Entertainment
Minna no Chizu,PSP,Misc,Zenrin,0.04,,,,,,
Blazing Angels 2: Secret Missions of WWII,X360,Simulation,Ubisoft,0.12,18-Sep-07,72.0,24.0,8.3,9.0,Ubisoft Romania
Watchmen: The End is Nigh Part 1 & 2,X360,Action,Warner Bros. Interactive Entertainment,0.09,,,,,,
Madagascar: Escape 2 Africa,PS3,Action,Activision,0.22,4-Nov-08,58.0,13.0,tbd,,Toys for Bob
Ultimate Board Game Collection,Wii,Misc,Xplosiv,0.14,14-Aug-07,,,tbd,,Jack of All Games
Omerta: City of Gangsters,X360,Simulation,Konami Digital Entertainment,0.59,12-Feb-13,43.0,18.0,2.2,18.0,Kalypso
Vitamin X to Z,PSP,Adventure,D3Publisher,0.06,,,,,,
"Sesame Street: Ready, Set, Grover!",Wii,Misc,Warner Bros. Interactive Entertainment,0.09,,,,,,
NBA Jam,PS3,Sports,Electronic Arts,0.32,15-Nov-10,71.0,33.0,5.7,14.0,EA Canada
PBR: Out of the Chute,Wii,Sports,Crave Entertainment,0.11,,,,,,
Resistance: Retribution,PSP,Shooter,Sony Computer Entertainment,0.85,17-Mar-09,81.0,67.0,8,68.0,Sony Bend
Final Fantasy X / X-2 HD Remaster,PSV,Role-Playing,Square Enix,0.24,18-Mar-14,,,,,Virtuos
Tales of Vesperia,PS3,Role-Playing,Namco Bandai Games,0.43,TBA,,,,,Bandai Namco Games
Metroid: Other M,Wii,Action,Nintendo,1.26,31-Aug-10,79.0,71.0,6.8,343.0,Team Ninja
Data East Arcade Classics,Wii,Misc,Majesco Entertainment,0.08,16-Feb-10,56.0,7.0,8.2,5.0,G1M2
